ID,Population,Sex,Included.in.UnrelatedSet,sample.longitude,sample.latitude
M037628,CH,2,0,7.02313225046951,46.91491328347
M037688,CH,1,0,7.02313225046951,46.91491328347
M037689,CH,2,0,6.98117987446983,46.8929664989639
M037690,CH,1,0,6.98117987446983,46.8929664989639
M037758,CH,2,0,7.02313225046951,46.91491328347
M037759,CH,1,0,7.02313225046951,46.91491328347
M037761,CH,2,0,6.98117987446983,46.8929664989639
M037925,CH,1,0,6.98117987446983,46.8929664989639
M037926,CH,1,0,6.98117987446983,46.8929664989639
M037929,CH,2,0,6.8670782248886,46.8173653829332
M037930,CH,1,0,6.97931806144855,46.8051809766415
M037942,CH,1,0,7.02313225046951,46.91491328347
M037944,CH,1,0,7.02313225046951,46.91491328347
M038012,CH,2,0,6.57643428055014,46.6276722533694
M038091,CH,1,0,6.86542821921764,46.8265619337549
M038092,CH,1,0,7.02127777800684,46.8307901806985
M038093,CH,1,0,7.03291285104386,46.8904628863395
M038094,CH,1,0,6.90837346201792,46.8708203544548
M038096,CH,1,0,6.90837346201792,46.8708203544548
M038154,CH,1,0,6.89650557874618,46.8770526244646
M038155,CH,2,0,6.53153524773063,46.6123809613578
M038156,CH,1,0,7.01741910490642,46.8683321349841
M038157,CH,1,0,6.8962912001562,46.8150182057466
M038169,CH,2,0,6.8962912001562,46.8150182057466
M038183,CH,1,0,6.95367583149537,46.8740527680069
M038200,CH,2,0,6.95367583149537,46.8740527680069
M038321,CH,1,0,7.03291285104386,46.8904628863395
M038351,CH,2,0,6.95561334711886,46.9110232954986
M038353,CH,2,0,6.95561334711886,46.9110232954986
M038355,CH,2,0,6.95561334711886,46.9110232954986
M038472,CH,1,1,6.95561334711886,46.9110232954986
M038481,CH,1,0,6.91607726539742,46.8379591093899
M038482,CH,2,0,6.95367583149537,46.8740527680069
M040627,CH,2,0,6.95367583149537,46.8740527680069
M040628,CH,1,0,6.95367583149537,46.8740527680069
M040918,CH,2,0,6.95367583149537,46.8740527680069
M040919,CH,1,0,6.95367583149537,46.8740527680069
M040920,CH,2,0,6.8962912001562,46.8150182057466
M043044,CH,2,0,6.98059198199974,46.9096146857037
M043617,CH,1,0,6.91753187155268,46.8637469660947
M043618,CH,1,0,6.71952384872605,46.7819100182328
M043619,CH,1,0,6.49098498067791,46.5484563711697
M043620,CH,1,1,6.4756040479222,46.5188148120124
M043762,CH,1,1,6.56250609357327,46.5234266549507
M043763,CH,1,0,6.57834123259671,46.7630321445809
M043764,CH,1,0,6.57834123259671,46.7630321445809
M043765,CH,2,0,6.9572744865986,46.8339569917039
M043766,CH,2,0,6.93094534238816,46.8348866264837
M043767,CH,1,0,6.93094534238816,46.8348866264837
M047566,CH,1,0,6.93094534238816,46.8348866264837
M047567,CH,1,0,6.93094534238816,46.8348866264837
M047568,CH,1,0,7.01361833211544,46.8629837775822
